xName,size
KSR1,10.580046403712297
KSR2,10.812064965197216
LCK,13.944315545243619
LIMK1,10.812064965197216
LIMK2,10.232018561484919
LKB1,10.0
LMR3,10.0
LOK,11.508120649651971
LRRK2,10.812064965197216
LYN,10.116009280742459
MAP2K1,17.77262180974478
MAP2K2,10.0
MAP2K4,10.232018561484919
MAP2K6,10.348027842227378
MAP2K7,13.944315545243619
MAP3K5,12.552204176334106
MAPKAPK2,12.900232018561486
MAPKAPK3,10.464037122969838
MARK1,10.116009280742459
MARK2,10.348027842227378
MARK3,10.348027842227378
MARK4,10.0
MASTL,10.0
MELK,13.480278422273782
MER,13.82830626450116
MET,19.976798143851507
MLK1,10.116009280742459
MLK4,10.0
MLKL,11.160092807424594
MNK1,10.116009280742459
MNK2,11.276102088167054
MPSK1,10.0
MRCKb,10.580046403712297
MSK1,10.0
MSK1_b,10.696055684454755
MST1,10.232018561484919
MST2,10.464037122969838
MST3,13.82830626450116
MST4,10.464037122969838
MYT1,11.392111368909513
NDR1,10.0
NEK1,10.116009280742459
NEK2,13.364269141531322
NEK7,10.812064965197216
NIK,10.696055684454755
OSR1,10.116009280742459
PAK1,13.016241299303944
PAK3,10.0
PAK4,14.408352668213457
PAK5,10.0
PAK6,10.232018561484919
PASK,10.0
PBK,10.0
PCTAIRE1,10.116009280742459
PDGFRa,10.696055684454755
PDK1,17.308584686774942
PEK,11.044083526682135
PHKg2,10.0
PI4K2A,10.580046403712297
PI4K2B,10.0
PI4KA,10.0
PI4KB,11.392111368909513
PIK3C3,11.85614849187935
PIK3R4,10.0
PIM1,29.837587006960558
PIM2,10.116009280742459
PKACa,14.872389791183295
PKCa,10.116009280742459
PKCb,10.0
PKCh,10.0
PKCi,10.812064965197216
PKCt,10.464037122969838
PKG1,10.348027842227378
PKN1,10.348027842227378
PKN2,10.0
PKR,10.464037122969838
PLK1,11.508120649651971
PLK2,10.464037122969838
PLK3,10.0
PLK4,10.232018561484919
PRP4,10.696055684454755
PRPK,10.0
PYK2,11.276102088167054
RAF1,10.0
RET,12.900232018561486
RIOK1,10.812064965197216
RIOK2,10.696055684454755
RIPK1,11.74013921113689
RIPK2,12.552204176334106
RIPK3,10.116009280742459
RNAseL,10.116009280742459
ROCK1,12.668213457076567
